postal_code,place_name,district_code,district_name,province,post_office_type
40150,Achchuvely,JA,Jaffna,Northern Province,Main Post Office
41160,Adampan,MB,Mannar,Northern Province,Sub Post Office
32350,Addalaichenai,AR,Ampara,Eastern Province,Main Post Office
20713,Adhikarigama,KY,Kandy,Central Province,Sub Post Office
61012,Adippala,PX,Puttalam,North Western Province,Sub Post Office
12200,Agalawatta,KT,Kalutara,Western Province,Main Post Office
80212,Agaliya,GL,Galle,Southern Province,Sub Post Office
22094,Agarapathana,NW,Nuwara Eliya,Central Province,Sub Post Office
31304,Agbopura,TC,Trincomalee,Eastern Province,Sub Post Office
80650,Ahangama,GL,Galle,Southern Province,Main Post Office
80562,Ahungalla,GL,Galle,Southern Province,Main Post Office
11536,Akaragama,GQ,Gampaha,Western Province,Sub Post Office
10732,Akarawita,CO,Colombo,Western Province,Sub Post Office
70082,Akarella,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
32400,Akkarapattu,AR,Ampara,Eastern Province,Main Post Office
90166,Akkaraseeya,BD,Badulla,Uva Province,Sub Post Office
42425,Akkarayankulam,KO,Kilinochchi,Northern Province,Sub Post Office
80090,Akmeemana,GL,Galle,Southern Province,Main Post Office
21142,Akuramboda,MT,Matale,Central Province,Sub Post Office
20850,Akurana,KY,Kandy,Central Province,Main Post Office
81400,Akuressa,MH,Matara,Southern Province,Main Post Office
60416,Alahenegama,KG,Kurunegala,North Western Province,Sub Post Office
60182,Alahitiyawa,KG,Kurunegala,North Western Province,Sub Post Office
70132,Alakola Ella,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
42005,Alampil,MP,Mullaitivu,Northern Province,Sub Post Office
81475,Alapaladeniya,MH,Matara,Southern Province,Sub Post Office
40120,Alaveddy,JA,Jaffna,Northern Province,Main Post Office
11122,Alawala,GQ,Gampaha,Western Province,Sub Post Office
20140,Alawatugoda,KY,Kandy,Central Province,Main Post Office
71204,Alawatura,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
60047,Alawatuwala,KG,Kurunegala,North Western Province,Sub Post Office
60280,Alawwa,KG,Kurunegala,North Western Province,Main Post Office
71607,Algama,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
42565,Aliyawalai,KO,Kilinochchi,Northern Province,Sub Post Office
40048,Allaipiddy,JA,Jaffna,Northern Province,Sub Post Office
12524,Alubomulla,KT,Kalutara,Western Province,Sub Post Office
20062,Aludeniya,KY,Kandy,Central Province,Sub Post Office
90736,Aluketiyawa,BD,Badulla,Uva Province,Sub Post Office
12080,Aluthgama,KT,Kalutara,Western Province,Main Post Office
71508,Aluthnuwara,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
90722,Aluththarama,BD,Badulla,Uva Province,Sub Post Office
80332,Aluthwala,GL,Galle,Southern Province,Sub Post Office
51014,Aluthwewa,PR,Polonnaruwa,North Central Province,Sub Post Office
40635,Alvai,JA,Jaffna,Northern Province,Sub Post Office
21004,Alwatta,MT,Matale,Central Province,Sub Post Office
90108,Ambadandegama,BD,Badulla,Uva Province,Sub Post Office
20986,Ambagahapelassa,KY,Kandy,Central Province,Sub Post Office
90326,Ambagahawatte,BD,Badulla,Uva Province,Sub Post Office
22678,Ambagamuwa Udabulathgama,NW,Nuwara Eliya,Central Province,Sub Post Office
90300,Ambagasdowa,BD,Badulla,Uva Province,Main Post Office
11052,Ambagaspitiya,GQ,Gampaha,Western Province,Sub Post Office
61024,Ambakandawila,PX,Puttalam,North Western Province,Sub Post Office
60036,Ambakote,KG,Kurunegala,North Western Province,Sub Post Office
71546,Ambalakanda,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
80300,Ambalangoda,GL,Galle,Southern Province,Main Post Office
82100,Ambalantota,HB,Hambantota,Southern Province,Main Post Office
21504,Ambana,MT,Matale,Central Province,Sub Post Office
22284,Ambanella,NW,Nuwara Eliya,Central Province,Sub Post Office
60650,Ambanpola,KG,Kurunegala,North Western Province,Main Post Office
22686,Ambatalawa,NW,Nuwara Eliya,Central Province,Sub Post Office
20136,Ambatenna,KY,Kandy,Central Province,Sub Post Office
11212,Ambepussa,GQ,Gampaha,Western Province,Sub Post Office
22216,Ambewela,NW,Nuwara Eliya,Central Province,Sub Post Office
71503,Ambulugala,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
